StatusNum,AvgStatusShare,MaxStatusShare,AvgStatusCmt,MaxStatusCmt,StatusTimeDiff,MinStatusTimeDiff,StatusTextLength,AvgStatusEmoticon,BlogNum,AvgBlogShare,MaxBlogShare,AvgBlogCmt,MaxBlogCmt,AvgBlogView,MaxBlogView,BlogTimeDiff,MinBlogTimeDiff,BlogTitleLength,BlogTextLength,PublicRatio,AvgImg,MaxImg,ShareNum,PhotoRatio,BlogRatio,VideoRatio,OtherRatio,AvgShareCmt,MaxShareCmt,ShareTimeDiff,MinShareTimeDiff,HanziRatio,StarNum,BasicInfo,Education,WorkNum,LikeNum,AppCount,VisitorCount,PageCount,ZhanCount,MusicCount,MovieCount,FriendCount,FriendDensity,Agreeableness,Openness,Conscientiousness,Neuroticism,Extraversion
313,0.402555911,7,8.769968051,76,468854.6506,42,24.08945687,0.159744409,6,16.66666667,83,26.83333333,83,224.1666667,588,1.57E+07,520734,11.16666667,1284.333333,1,0.333333333,2,202,0.430693069,0.410891089,0.128712871,0.02970297,3.084158416,100,604174.6866,16,1,0,3,4,0,0,0,6222,24,0,0,0,995,0,0.889,0.45,0.472,0.438,0.531
732,0.278688525,4,3.952185792,144,191964.435,12,11.38661202,0.170765027,14,0.857142857,10,4.928571429,15,20.28571429,46,7684068.923,84868,9.357142857,3877.285714,0.285714286,0,0,2430,0.318106996,0.379012346,0.259259259,0.043621399,0.328806584,22,61776.27748,2,1,0,0,9,0,0,145,2407,84,6,0,0,351,0,0.333,0.7,0.222,0.844,0.375
1155,0.745454545,9,5.892640693,104,128346.7834,6,15.21731602,0.554112554,1,0,0,0,0,106,106,0,2147483647,36,14561,1,0,0,837,0.500597372,0.376344086,0.074074074,0.048984468,3.238948626,127,146589.5909,7,1,0,3,5,0,0,69,3743,82,63,0,0,817,0,0.639,0.75,0.444,0.5,0.562
2,0,0,4.5,6,2135678,2135678,35.5,0,1,3,3,0,0,47,47,0,2147483647,6,2427,1,0,0,59,0.508474576,0.389830508,0.084745763,0.016949153,1.118644068,24,1689596.966,5,1,0,0,3,0,0,0,2847,0,0,0,0,626,0,0.306,0.6,0.694,0.75,0.406
13433,0.554604333,12,3.507630462,621,11142.98288,-78679,29.63984218,0.344822452,97,87.29896907,2716,21.30927835,136,509.443299,11319,876824.3021,1703,21.44329897,7084.082474,0.948453608,8.969072165,130,4370,0.60389016,0.283295195,0.076430206,0.036384439,2.690160183,97,33643.26917,4,0.333333333,1,3,4,0,7,114,61170,87,4,0,0,1433,0,0.278,0.575,0.472,0.781,0.688
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0.439344262,0.452459016,0.081967213,0.026229508,0.826229508,28,379951.648,4,1,1,3,5,0,0,65,1620,59,1,0,0,943,0,0.556,0.725,0.583,0.625,0.562
118,0.237288136,5,5.779661017,37,1255284.598,57,28.31355932,0.050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2752,0.325944767,0.502543605,0.122456395,0.049055233,2.667514535,104,53104.28462,4,0.272727273,0,0,0,0,0,105,13772,123,18,1,0,1146,0,0.722,0.7,0.306,0.406,0.5
429,0.303030303,4,2.68997669,42,339432.0374,34,29.10722611,0.484848485,31,18.35483871,371,7.774193548,48,249.3225806,3334,4757371.267,156797,19.74193548,4302.83871,1,0.419354839,5,694,0.409221902,0.426512968,0.11815562,0.04610951,1.276657061,23,209523.2929,10,1,1,0,0,0,0,0,7480,58,0,0,0,711,0,0.639,0.45,0.833,0.562,0.469
330,0.172727273,4,2.703030303,23,429714.9058,30,30.36363636,0,2,2,3,4,5,124.5,130,1307231,1307231,11,2923,1,3,6,62,0.467741935,0.403225806,0.096774194,0.032258065,1.483870968,19,2286483.344,127,1,0,3,5,0,0,70,2801,21,2,0,0,528,0,0.556,0.975,0.694,0.969,0.656
773,0.160413972,6,7.203104787,91,175837.7811,19,33.62095731,0.138421734,20,4.4,39,13.95,38,125,656,3840566.158,1123,14.7,1266.45,1,0.3,6,239,0.539748954,0.326359833,0.09623431,0.037656904,2.29707113,14,525096.958,8,1,1,3,3,0,0,0,7024,33,0,0,0,964,0,0.778,0.525,0.5,0.219,0.625
5937,0.44517433,13,8.763180057,293,23736.82615,7,32.79046657,1.224692606,77,30.83116883,391,28.55844156,117,395.1688312,2920,1784392.895,-47133326,13.53246753,4459.103896,0.948051948,13.97402597,195,2620,0.477862595,0.340458015,0.077862595,0.103816794,3.734351145,88,53225.61245,3,1,1,3,7,0,7,34,118676,35,4,0,0,1822,0,0.583,0.4,0.639,0.344,0.594
186,0.258064516,4,13.85483871,96,691139.5027,17,36.8172043,1.220430108,4,6,15,36.25,72,138.25,219,2.02E+07,2815249,13.5,12967.5,1,10,16,662,0.493957704,0.329305136,0.137462236,0.039274924,1.425981873,49,195410.5552,4,1,0,3,5,0,0,0,6679,87,0,0,0,693,0,0.778,0.65,0.528,0.5,0.531
0,0,0,0,0,0,0,0,0,133,2.511278195,82,3.766917293,32,64.04511278,543,858556.7879,-203565,16.57894737,6331.518797,1,1.466165414,27,1601,0.342286071,0.44284822,0.119300437,0.095565272,0.62273579,19,84954.61,3,1,1,3,7,0,0,100,18187,12,3,3,0,1427,0,0.611,0.425,0.444,0.594,0.531
519,0.435452794,4,7.094412331,59,135571.168,0,30.04046243,0.843930636,2,0,0,36,72,142.5,226,4061979,4061979,6.5,3879,0.5,14,28,533,0.544090056,0.356472795,0.073170732,0.026266417,2.848030019,49,144517.1786,6,1,1,3,3,0,2,0,8072,56,0,0,0,1030,0,0.833,0.5,0.639,0.188,0.719
2,0.5,1,0.5,1,524868,524868,1.5,0,1,205,205,19,19,2312,2312,0,2147483647,21,728,1,0,0,3,0.666666667,0.333333333,0,0,1.666666667,2,5005812,64,1,1,0,3,0,0,0,853,28,0,0,0,348,0,0.775,0.417,0.417,0.375,0.719
0,0,0,0,0,0,0,0,0,3,0,0,26.66666667,49,97,189,3.46E+07,28812352,5,994.3333333,1,0,0,427,0.449648712,0.395784543,0.121779859,0.032786885,2.323185012,40,245589.5235,11,1,1,0,0,0,0,0,1544,54,0,0,0,505,0,0.556,0.6,0.611,0.5,0.531
749,0.200267023,4,4.659546061,46,168168.6738,12,20.08010681,0.177570093,15,86.46666667,1127,20.86666667,79,387.4,3972,8714984.071,434387,20.53333333,2827.666667,1,3.066666667,27,481,0.461538462,0.390852391,0.093555094,0.054054054,1.328482328,21,256580.7604,4,1,1,3,2,0,0,34,3928,54,7,0,0,922,0,0.722,0.5,0.611,0.438,0.5
2,0,0,6,12,241385,241385,9,0.5,10,0.9,3,2.8,12,40.8,77,4607490.222,43070,15.5,234.7,1,2.7,4,236,0.550847458,0.228813559,0.173728814,0.046610169,1.915254237,38,427617.0468,11,1,0,3,7,0,0,0,2201,71,0,0,0,695,0,0.611,0.575,0.472,0.562,0.438
61,0.557377049,3,2.131147541,24,939589.7,10,15.01639344,0.344262295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0.577981651,0.275229358,0.110091743,0.036697248,1.71559633,15,477008.4815,12,1,0,3,3,0,0,29,472,19,1,0,0,349,0,0.5,0.5,0.556,0.562,0.438
